Title,Year,Genre,Runtime,Budget,BoxOffice,Director,Rating,Country
Frozen Reckoning,2018,Thriller,169.0,121.0,323.1,Greta Smith,8.6,UK
Golden Journey,2004,Romance,173.0,47.4,69.7,Ridley Davis,9.1,Canada
Hidden Quest,1997,Sci-Fi,134.0,111.3,128.9,Kathryn Moore,5.4,India
Lost Echo,2010,Romance,171.0,102.6,217.8,James Jones,4.8,Canada
Frozen Empire,2008,Drama,137.0,,270.8,Greta Jones,7.2,South Korea
Frozen Shadow,2012,Drama,159.0,160.6,408.4,Kathryn Williams,5.7,Canada
Electric Journey,2000,Action,106.0,16.1,12.4,Greta Johnson,3.2,USA
Broken Horizon,2000,Romance,,96.8,378.5,Martin Davis,4.0,France
Golden Promise,2013,Thriller,107.0,158.3,625.6,Steven Wilson,7.7,Germany
Midnight Quest,2013,Horror,141.0,128.3,377.7,Sofia Smith,7.3,Germany
Frozen Dimension,1992,Sci-Fi,92.0,214.8,510.4,Christopher Taylor,3.2,UK
Dark Odyssey,2011,Comedy,99.0,166.4,263.5,Greta Brown,4.4,France
Broken Legacy,1991,Thriller,169.0,44.9,150.3,David Jones,4.5,Canada
Whispering Empire,2013,Thriller,128.0,,64.6,Kathryn Johnson,7.4,South Korea
Lost Promise,2019,Drama,132.0,162.4,173.6,Sofia Davis,3.1,UK
Secret Revenge,1991,Romance,141.0,11.5,42.4,Quentin Moore,3.7,Canada
Silent Reckoning,2010,Action,178.0,148.5,501.8,James Brown,8.2,India
Midnight Legacy,2022,Action,120.0,235.4,900.2,David Brown,4.2,Japan
Hidden Promise,2001,Sci-Fi,98.0,146.0,443.8,David Davis,7.2,Canada
Silent Promise,2011,Drama,106.0,100.1,265.0,Ridley Jones,4.5,France
Frozen Quest,2014,Thriller,121.0,162.6,319.3,Sofia Miller,3.6,UK
Dark Revenge,2016,Horror,,117.3,441.6,Greta Miller,,France
Dark Reckoning,2017,Drama,97.0,138.7,489.8,Christopher Williams,7.7,UK
Midnight Journey,2005,Sci-Fi,140.0,235.7,155.2,Sofia Brown,8.6,Canada
Whispering Revenge,2004,Sci-Fi,101.0,99.6,59.0,Martin Wilson,8.4,USA
Dark Horizon,1992,Drama,76.0,240.5,437.1,David Johnson,5.6,India
Burning Odyssey,1996,Sci-Fi,164.0,226.8,756.8,Martin Jones,,Canada
Electric Empire,2010,Drama,91.0,53.0,209.6,David Davis,4.3,Germany
Hidden Journey,1998,Comedy,178.0,22.0,22.6,James Wilson,4.9,France
Electric Legacy,2007,Drama,107.0,29.7,76.6,David Williams,8.8,Japan
Crimson Revenge,1993,Romance,83.0,9.5,17.4,Greta Johnson,3.1,Japan
Dark Echo,2014,Drama,117.0,28.1,109.4,Sofia Taylor,,South Korea
Electric Revenge,2003,Sci-Fi,122.0,172.3,594.0,Christopher Brown,4.4,UK
Hidden Echo,1998,Romance,113.0,22.4,76.9,David Taylor,3.2,France
Electric Shadow,2015,Sci-Fi,,83.1,177.9,David Jones,4.2,South Korea
